State,Vegetable,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec
AZ,Artichokes - Globe,,,,,,x,x,x,x,,,
AZ,Artichokes - Jerusalem,,,,,,,x,x,x,x,x,
AZ,Asparagus,x,x,x,x,,,,,,,x,x
AZ,Basil,x,x,x,x,x,x,x,x,x,x,x,x
AZ,Beans - Lima,,,,,x,x,x,x,,,,
AZ,Beans - Pinto,,,,,,,,,x,x,x,
AZ,Beans - Snap,,,,,,x,x,,x,x,,
AZ,Beans- Yardlong,,,,,x,x,x,x,x,x,,
AZ,Beets,x,x,x,x,x,,,,,,x,x
AZ,Blackeyed Peas,,,,,,x,x,x,x,x,x,
AZ,Bok Choy,x,x,x,x,x,,,,x,x,x,x
AZ,Broccoli,x,x,,,,,,,,,x,x
AZ,Brussel Sprouts,x,x,,,,,,,,,x,x
AZ,Cabbage,x,x,x,x,x,,,,,,,x
AZ,Cabbage-Chinese,x,x,x,x,,,,,,x,x,x
AZ,Carrots,x,x,x,x,x,x,x,,x,x,x,x
AZ,Cauliflower,x,x,x,x,x,,,,,,,x
AZ,Celery,x,x,x,x,x,,,,,,,x
AZ,Chard,x,x,x,x,,,,,,x,x,x
AZ,Collard Greens,x,x,x,x,x,,,,,,x,x
AZ,Corn-Sweet,,,,,x,x,x,x,x,x,x,
AZ,Cucumbers,,,,,x,x,x,,,x,x,x
AZ,Cucumbers- American,,,,,x,x,x,x,x,,,
AZ,Eggplant,,,,,x,x,x,,,,,
AZ,Endive,x,x,x,x,x,,,,,,x,x
AZ,Garlic,,,x,x,x,,,,,,,
AZ,Kale,x,x,x,,,,,,,x,x,x
AZ,Kohlrabi,x,x,x,,,,,,x,x,x,x
